s 00,s 10,Re s 11,Im s 11,s 20,Re s 21,Im s 21,Re s 22,Im s 22
-2.2E-14,-3.12E-14,-2.20E-15,-3.75E-14,-8.43E-15,-2.41E-15,-4.12E-14,-1.12E-14,-4.10E-15
4.74E-15,6.73E-15,1.02E-14,8.08E-15,3.91E-14,1.12E-14,8.88E-15,2.41E-15,1.9E-14
